Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
nike-air-max-1-87-qs-gorge-green,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/AIRMAX_DV3887_2.png?v=1737474596,2,,,,,,,,,,,,,,,,,,,,,
nike-air-max-1-87-qs-gorge-green,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/NIKESIZECHAT1.png?v=1737977478,3,,,,,,,,,,,,,,,,,,,,,
nike-air-max-1-87-qs-gorge-green,,,,,,,,,US 5.5 (W),,,DV3887-400,,,,deny,manual,85.0,155.0,,,,https://notorious-plug.com/cdn/shop/files/AIRMAX_DV3887_1.png?v=1737474596,1,,,,,,,,,,,,,,,,,,,,,active
nike-air-max-1-87-qs-gorge-green,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/AIRMAX_DV3887_2.png?v=1737474596,2,,,,,,,,,,,,,,,,,,,,,
nike-air-max-1-87-qs-gorge-green,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/NIKESIZECHAT1.png?v=1737977478,3,,,,,,,,,,,,,,,,,,,,,
nike-air-max-1-87-qs-gorge-green,,,,,,,,,US 6.5 (W),,,DV3887-400,,,,deny,manual,85.0,155.0,,,,https://notorious-plug.com/cdn/shop/files/AIRMAX_DV3887_1.png?v=1737474596,1,,,,,,,,,,,,,,,,,,,,,active
nike-air-max-1-87-qs-gorge-green,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/AIRMAX_DV3887_2.png?v=1737474596,2,,,,,,,,,,,,,,,,,,,,,
nike-air-max-1-87-qs-gorge-green,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/NIKESIZECHAT1.png?v=1737977478,3,,,,,,,,,,,,,,,,,,,,,
nike-air-max-1-87-qs-gorge-green,,,,,,,,,US 7 (W),,,DV3887-400,,,,deny,manual,85.0,155.0,,,,https://notorious-plug.com/cdn/shop/files/AIRMAX_DV3887_1.png?v=1737474596,1,,,,,,,,,,,,,,,,,,,,,active
nike-air-max-1-87-qs-gorge-green,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/AIRMAX_DV3887_2.png?v=1737474596,2,,,,,,,,,,,,,,,,,,,,,
nike-air-max-1-87-qs-gorge-green,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/NIKESIZECHAT1.png?v=1737977478,3,,,,,,,,,,,,,,,,,,,,,
nike-air-max-1-87-qs-gorge-green,,,,,,,,,US 7.5 (W),,,DV3887-400,,,,deny,manual,85.0,155.0,,,,https://notorious-plug.com/cdn/shop/files/AIRMAX_DV3887_1.png?v=1737474596,1,,,,,,,,,,,,,,,,,,,,,active
nike-air-max-1-87-qs-gorge-green,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/AIRMAX_DV3887_2.png?v=1737474596,2,,,,,,,,,,,,,,,,,,,,,
nike-air-max-1-87-qs-gorge-green,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/NIKESIZECHAT1.png?v=1737977478,3,,,,,,,,,,,,,,,,,,,,,
nike-air-max-1-87-qs-gorge-green,,,,,,,,,US 8 (W),,,DV3887-400,,,,deny,manual,85.0,155.0,,,,https://notorious-plug.com/cdn/shop/files/AIRMAX_DV3887_1.png?v=1737474596,1,,,,,,,,,,,,,,,,,,,,,active
nike-air-max-1-87-qs-gorge-green,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/AIRMAX_DV3887_2.png?v=1737474596,2,,,,,,,,,,,,,,,,,,,,,
nike-air-max-1-87-qs-gorge-green,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/NIKESIZECHAT1.png?v=1737977478,3,,,,,,,,,,,,,,,,,,,,,
nike-air-max-1-87-qs-gorge-green,,,,,,,,,US 8.5 (W),,,DV3887-400,,,,deny,manual,85.0,155.0,,,,https://notorious-plug.com/cdn/shop/files/AIRMAX_DV3887_1.png?v=1737474596,1,,,,,,,,,,,,,,,,,,,,,active
nike-air-max-1-87-qs-gorge-green,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/AIRMAX_DV3887_2.png?v=1737474596,2,,,,,,,,,,,,,,,,,,,,,
nike-air-max-1-87-qs-gorge-green,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/NIKESIZECHAT1.png?v=1737977478,3,,,,,,,,,,,,,,,,,,,,,
nike-air-max-1-87-qs-gorge-green,,,,,,,,,US 9 (W),,,DV3887-400,,,,deny,manual,85.0,155.0,,,,https://notorious-plug.com/cdn/shop/files/AIRMAX_DV3887_1.png?v=1737474596,1,,,,,,,,,,,,,,,,,,,,,active
nike-air-max-1-87-qs-gorge-green,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/AIRMAX_DV3887_2.png?v=1737474596,2,,,,,,,,,,,,,,,,,,,,,
nike-air-max-1-87-qs-gorge-green,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/NIKESIZECHAT1.png?v=1737977478,3,,,,,,,,,,,,,,,,,,,,,
nike-air-max-1-87-qs-gorge-green,,,,,,,,,US 9.5 (W),,,DV3887-400,,,,deny,manual,85.0,155.0,,,,https://notorious-plug.com/cdn/shop/files/AIRMAX_DV3887_1.png?v=1737474596,1,,,,,,,,,,,,,,,,,,,,,active
